timestamp,ticker,name,price,nav_jpy,deviation_pct
2025-11-11 10:42:57,1672.T,Gold,59350.0,61622.269248905184,-3.6874157290881566
2025-11-11 10:54:15,1672.T,Gold,59350.0,61621.06835556031,-3.685538755115372
2025-11-12 02:02:08,1672.T,Gold,59300.0,61648.63403934479,-3.809709778558707
2025-11-12 02:41:20,1672.T,Gold,59360.0,61677.79685031891,-3.757911223618758
2025-11-12 03:11:06,1672.T,Gold,59360.0,61663.81893945694,-3.736095135007593
2025-11-12 03:44:12,1672.T,Gold,59360.0,61646.6406783104,-3.709270534695853
2025-11-12 04:22:49,1672.T,Gold,58990.0,61743.31564052582,-4.459293466771089
2025-11-12 05:11:45,1672.T,Gold,59100.0,61822.818437500006,-4.40422890174871
2025-11-12 06:32:40,1672.T,Gold,59050.0,61774.8802381897,-4.410984250690885
2025-11-12 07:25:05,1672.T,Gold,59160.0,61748.91168159485,-4.192643418469371
2025-11-12 08:18:52,1672.T,Gold,59160.0,61818.82561952592,-4.30099665090711
