date,etf_price,nav_price,deviation(%)
2025-11-03 07:34,19170.0,19377.21,-1.0693489929664752
2025-11-03 07:43,19170.0,19377.21,-1.0693489929664752
2025-11-03 08:32,19170.0,19377.21,-1.0693489929664752
2025-11-03 08:41,19170.0,19377.21,-1.0693489929664752
2025-11-03 08:44,19170.0,19377.21,-1.0693489929664752
2025-11-03 08:47,19170.0,19377.21,-1.0693489929664752
2025-11-03 08:54,19170.0,19377.21,-1.0693489929664752
2025-11-03 09:00,19170.0,19377.21,-1.0693489929664752
2025-11-03 10:26,19170.0,19377.21,-1.0693489929664752
2025-11-03 12:41,19170.0,19377.21,-1.0693489929664752
2025-11-03 14:13,19170.0,19377.21,-1.0693489929664752
2025-11-03 16:16,19170.0,19377.21,-1.0693489929664752
